Ecosystem,Disturbance,Acres
Peatland Systems,Fire,13011
Peatland Systems,Weather,3800
Peatland Systems,Insects,2207
Spruce-Fir-Hardwood Forest,Fire,2537
Spruce-Fir-Hardwood Forest,Insects,13807
Spruce-Fir-Hardwood Forest,Weather,82147
Northern Hardwoods Forest,Weather,3761
Northern Hardwoods Forest,Fire,1054
Pine-Oak Forest,Fire,260156
Pine-Oak Forest,Weather,11104
Pine-Hemlock-Hardwood Forest,Weather,1810
Pine-Hemlock-Hardwood Forest,Fire,11600
Beech-Maple Forest,Weather,96061
Beech-Maple Forest,Fire,15762
Dry-Mesic Oak Forest and Woodland,Weather,1756
Dry-Mesic Oak Forest and Woodland,Fire,201589
Dry-Mesic Oak Forest and Woodland,NativeGrazing,7056
Oak Barrens,Weather,58564
Oak Barrens,NativeGrazing,1843
Oak Barrens,Insects,391
Oak Barrens,Fire,345196
